,episode,mean detail,std detail,algorithm,upper,lower
5,5,4265.325,263.9435308924998,PPO v4 w/ pred,,
6,6,4286.075,141.54394194030348,PPO v4 w/ pred,,
7,7,4304.25,228.50642769952884,PPO v4 w/ pred,,
8,8,4311.275,110.62860163628572,PPO v4 w/ pred,,
9,9,4311.95,131.89460754708662,PPO v4 w/ pred,,
10,10,4286.875,74.91828882188915,PPO v4 w/ pred,4416.263292819274,4170.721707180726
11,11,4291.35,36.62905267680288,PPO v4 w/ pred,4396.797172518802,4193.262827481199
12,12,4303.725,144.14640994488903,PPO v4 w/ pred,4395.633752491895,4190.901247508105
13,13,4279.35,20.74246851269154,PPO v4 w/ pred,4381.4508670299265,4192.324132970073
14,14,4294.75,74.75459852075991,PPO v4 w/ pred,4375.313739063263,4183.566260936737
15,15,4280.7,53.907327887774215,PPO v4 w/ pred,4359.489948713684,4183.875051286316
16,16,4268.45,147.53474167124162,PPO v4 w/ pred,4364.600722413752,4167.474277586248
17,17,4240.45,150.4775730798447,PPO v4 w/ pred,4371.415752491034,4148.609247508966
18,18,4236.8,123.73232196964543,PPO v4 w/ pred,4359.012814971139,4148.527185028861
19,19,4234.375,51.231704051300106,PPO v4 w/ pred,4371.515176341813,4134.474823658188
20,20,4230.425,182.4760258225721,PPO v4 w/ pred,4373.813131270212,4131.396868729788
21,21,4231.1,165.0293534496212,PPO v4 w/ pred,4379.952903045285,4125.092096954716
22,22,4241.3,82.5420347459402,PPO v4 w/ pred,4373.398217966793,4136.891782033208
23,23,4271.6,153.5160822194209,PPO v4 w/ pred,4378.451949242573,4146.113050757426
24,24,4290.85,101.63414780476097,PPO v4 w/ pred,4395.124322281707,4144.820677718295
25,25,4279.875,116.1300456384996,PPO v4 w/ pred,4418.583350404657,4137.871649595344
26,26,4294.675,55.76289088632332,PPO v4 w/ pred,4431.527430656498,4146.247569343503
27,27,4311.825,129.63988583765413,PPO v4 w/ pred,4439.700552374186,4159.689447625814
28,28,4313.7,213.55605236096682,PPO v4 w/ pred,4453.855937369989,4166.054062630011
29,29,4316.925,203.27198528080547,PPO v4 w/ pred,4456.425272420694,4179.719727579306
30,30,4337.025,205.31682834098135,PPO v4 w/ pred,4463.580184314177,4182.0698156858225
31,31,4339.175,138.6855706265075,PPO v4 w/ pred,4467.570522104905,4189.964477895095
32,32,4343.9,121.49588470396847,PPO v4 w/ pred,4475.131223990419,4189.953776009581
33,33,4352.775,98.03443272646606,PPO v4 w/ pred,4472.475104228836,4195.194895771163
34,34,4338.375,125.65826673959816,PPO v4 w/ pred,4470.4421062977,4200.692893702299
35,35,4339.3,96.60842354577576,PPO v4 w/ pred,4456.243162060597,4214.461837939403
36,36,4332.425,93.61990974146471,PPO v4 w/ pred,4439.318328637408,4225.1516713625915
37,37,4324.75,90.15368822183594,PPO v4 w/ pred,4437.842096657843,4218.682903342156
38,38,4331.025,175.90107304959795,PPO v4 w/ pred,4422.971974374146,4220.748025625854
39,39,4314.775,63.43254290977148,PPO v4 w/ pred,4417.81533901038,4207.664660989621
40,40,4305.85,67.24349410909579,PPO v4 w/ pred,4405.122280736908,4203.802719263092
41,41,4299.45,163.64825083085978,PPO v4 w/ pred,4408.580946258938,4187.0990537410635
42,42,4279.875,36.819661866997095,PPO v4 w/ pred,4399.014797381662,4182.310202618338
43,43,4261.575,137.66807908879966,PPO v4 w/ pred,4390.461646433062,4177.078353566938
44,44,4255.6,81.50268400488416,PPO v4 w/ pred,4371.99362917057,4178.91137082943
45,45,4273.075,197.42007876606675,PPO v4 w/ pred,4370.827497981208,4171.2625020187925
46,46,4260.65,69.73342096871485,PPO v4 w/ pred,4379.5491090122005,4154.445890987799
47,47,4255.825,73.54717873582915,PPO v4 w/ pred,4363.107473932129,4162.807526067871
48,48,4247.85,74.39590042468738,PPO v4 w/ pred,4370.820519363506,4154.214480636494
49,49,4270.7,95.84623101614378,PPO v4 w/ pred,4375.5722317343225,4153.572768265677
50,50,4265.375,194.93460441902047,PPO v4 w/ pred,4381.116648682617,4151.403351317384
51,51,4259.05,39.63190003015248,PPO v4 w/ pred,4372.708723377826,4157.301276622174
52,52,4275.475,118.35011618076258,PPO v4 w/ pred,4377.350137868571,4152.369862131428
53,53,4282.125,164.6352027969717,PPO v4 w/ pred,4390.801828199,4137.163171800999
54,54,4272.475,120.07185348781786,PPO v4 w/ pred,4401.776921972194,4126.943078027806
55,55,4260.525,125.89082571815946,PPO v4 w/ pred,4398.789720515725,4122.705279484276
56,56,4259.2,117.5975658761694,PPO v4 w/ pred,4399.83798291436,4119.91701708564
57,57,4247.05,216.83908204011564,PPO v4 w/ pred,4401.252943072375,4119.462056927625
58,58,4251.625,180.37183815662576,PPO v4 w/ pred,4407.408141281079,4107.466858718921
59,59,4234.575,102.0992164514498,PPO v4 w/ pred,4399.761895146412,4105.933104853588
60,60,4256.675,214.1172284053761,PPO v4 w/ pred,4396.709155800812,4103.925844199187
