,episode,mean reward,std reward,algorithm,upper,lower
5,5,-98377.2386166088,786.9968233735127,ppo v4 w/ pred,,
6,6,-97873.4886166088,643.1937888381697,ppo v4 w/ pred,,
7,7,-97750.93237962962,0.0,ppo v4 w/ pred,,
8,8,-97656.85737962963,1652.2240349707652,ppo v4 w/ pred,,
9,9,-96977.03237962963,3386.2724278336536,ppo v4 w/ pred,,
10,10,-94856.88306655092,9387.715377023314,ppo v4 w/ pred,-75231.33824807467,-89745.68103838367
11,11,-81393.19862210649,2557.075708446519,ppo v4 w/ pred,-42609.144777969814,-102687.16792665981
12,12,-67593.47474739583,2805.000089126558,ppo v4 w/ pred,-6971.11873345843,-111071.69806416887
13,13,-53214.12547164352,13832.118083919759,ppo v4 w/ pred,32554.699779469956,-115581.2244361829
14,14,-39191.865152488426,37521.11761801281,ppo v4 w/ pred,75599.02647763312,-115663.55792931134
15,15,26.294292534718988,228605.39861527845,ppo v4 w/ pred,123222.97606878197,-112862.98255662915
16,16,38393.99091840278,220755.9746989404,ppo v4 w/ pred,174365.75424913457,-104103.99951383361
17,17,77330.52832494213,220176.72442471207,ppo v4 w/ pred,229196.15114572947,-93938.495940579
18,18,117153.108645544,217285.5249914288,ppo v4 w/ pred,285433.7715577678,-80413.52453357803
19,19,155145.59243952547,227503.14352016704,ppo v4 w/ pred,343612.4571348243,-64059.96570120162
20,20,204651.92304918982,221306.69106480843,ppo v4 w/ pred,380416.5968281849,-21662.73900584696
21,21,243586.3037271412,225881.54232514807,ppo v4 w/ pred,395124.9079164731,37578.51130754306
22,22,281219.48434780096,216368.24511431367,ppo v4 w/ pred,408360.4674114458,93251.51521853106
23,23,319447.0965755208,222957.75180731996,ppo v4 w/ pred,418987.3561537004,146432.66391042
24,24,356814.96679108794,9555.682608042638,ppo v4 w/ pred,426981.4276974569,196855.00906400147
25,25,369774.10130092595,5940.702489769373,ppo v4 w/ pred,431703.70535959164,245709.1275564384
26,26,382936.8079482061,8568.752618863646,ppo v4 w/ pred,432117.49787286716,289006.04861636896
27,27,396370.71549565974,7405.424676540468,ppo v4 w/ pred,427794.54231201333,329195.55272438715
28,28,409235.1921322338,5144.156942303759,ppo v4 w/ pred,420924.7254061493,364559.2367046146
29,29,423027.57321238425,6843.939368656448,ppo v4 w/ pred,409545.00658338843,396745.2756162644
30,30,423205.49091521994,6891.048331532857,ppo v4 w/ pred,415838.83363506425,403939.4491498895
31,31,422919.046462963,3319.243980788043,ppo v4 w/ pred,420513.6806581627,408638.99554878176
32,32,423688.81971961807,5200.740683856477,ppo v4 w/ pred,423567.7659182221,412369.74425434734
33,33,423478.6970199653,5128.963135266531,ppo v4 w/ pred,425230.14955679455,414765.7416436684
34,34,424254.96971759264,5053.950198296121,ppo v4 w/ pred,426227.6346606148,415188.26162792684
35,35,416646.06841087964,5817.205610800197,ppo v4 w/ pred,438042.9599386789,400487.3236343535
36,36,416860.977776331,5185.435391332646,ppo v4 w/ pred,436285.5454185309,399369.650839571
37,37,416662.62063512736,3737.355922797786,ppo v4 w/ pred,435390.5254151835,397511.12632335816
38,38,416335.2175726273,8018.982540113414,ppo v4 w/ pred,433584.7143260466,396424.0557832127
39,39,408599.509634838,139425.25572684294,ppo v4 w/ pred,444079.4799975604,382979.0110149397
40,40,408830.05434056715,3692.3397047052963,ppo v4 w/ pred,442136.6990603589,380297.6031946758
41,41,409151.3238651621,8136.766545115701,ppo v4 w/ pred,441443.91163608787,379254.6501713196
42,42,409224.4115732061,1607.0379388991214,ppo v4 w/ pred,440214.8179942241,378696.770627188
43,43,408727.301536169,124828.0153342,ppo v4 w/ pred,439724.94439723203,377331.81553274486
44,44,401134.02593026625,8747.084613608757,ppo v4 w/ pred,450336.7478424994,364798.62019610015
45,45,407967.3661727431,7568.033606225423,ppo v4 w/ pred,437623.5344361351,378518.3824563419
46,46,407926.1118463542,1829.3649026723199,ppo v4 w/ pred,438642.37998453033,378425.2973317313
47,47,407388.47717795137,8112.763410053137,ppo v4 w/ pred,437873.56119509833,378394.1943259665
48,48,406728.2581157408,123743.97644967356,ppo v4 w/ pred,437610.983001876,377874.11359117966
49,49,413632.25390422455,7260.377393812417,ppo v4 w/ pred,425465.83421566477,389355.9930392543
50,50,413458.8564594908,9251.993069734528,ppo v4 w/ pred,426117.8846358207,391030.5034853599
51,51,405151.7148891782,4448.187626779756,ppo v4 w/ pred,439954.8128095072,378214.9369104582
52,52,405311.11693315976,2894.5506467212276,ppo v4 w/ pred,440432.35329258034,378655.2024735076
53,53,405410.9548454861,6692.874162770886,ppo v4 w/ pred,440918.67728030914,379232.51100510755
54,54,412766.8302615741,3634.784483860601,ppo v4 w/ pred,429880.9732097328,391524.314124353
55,55,413074.1741666667,140830.5073491662,ppo v4 w/ pred,429590.8752429738,391799.27053949155
56,56,412515.14207696763,2015.7395027914274,ppo v4 w/ pred,429149.16537419206,392326.6206553798
57,57,412706.639774595,7657.840690697351,ppo v4 w/ pred,430913.5022257898,393914.3732982843
58,58,412998.7533590857,7096.440500564485,ppo v4 w/ pred,432533.05493162683,395560.2715414635
59,59,413556.5461461227,4435.105484324269,ppo v4 w/ pred,434213.63045253616,397161.6564555658
60,60,413887.0576950232,4406.693146385102,ppo v4 w/ pred,435363.13142579544,397827.6213520403
61,61,421912.16236168984,5331.108670245877,ppo v4 w/ pred,422739.9856009297,412261.4207109338
62,62,421638.3716782408,2762.8229600104055,ppo v4 w/ pred,424204.46024237544,412860.33210600424
63,63,421820.75702054397,7088.827196805826,ppo v4 w/ pred,425089.04373029096,414074.2153621281
64,64,421844.15961024316,6052.464867784426,ppo v4 w/ pred,425785.5618479371,415371.0017899681
65,65,422127.44183680555,5545.781430370271,ppo v4 w/ pred,426717.4611168231,416337.547634971
66,66,422832.0722595487,6343.55573466803,ppo v4 w/ pred,427472.02810857084,417268.92462302645
67,67,423198.9734947917,6011.341849655886,ppo v4 w/ pred,427545.47553329944,417326.2431828465
68,68,422965.2760865162,4095.0989495946433,ppo v4 w/ pred,428001.2987570434,417182.7025685932
69,69,423048.77171556716,4261.8726037404485,ppo v4 w/ pred,427812.5942327503,417673.4572865205
70,70,422316.7775940394,3522.6431648461125,ppo v4 w/ pred,427495.3197988189,418234.92581692187
71,71,422565.99228443287,5411.75299478822,ppo v4 w/ pred,427273.50570119155,418521.04300922516
72,72,423199.78472569445,5759.64214999684,ppo v4 w/ pred,427175.6951139554,418467.6216655006
73,73,423331.00798871525,3691.530985703987,ppo v4 w/ pred,427445.11194005655,417914.843384249
74,74,423065.1300925926,1658.7500461205307,ppo v4 w/ pred,427542.35798669886,417570.8711215187
75,75,422448.9573101852,3006.124980717333,ppo v4 w/ pred,427807.8482952818,416983.34439314407
76,76,422075.91260474536,6121.60951711025,ppo v4 w/ pred,428204.50261589343,416550.15505777556
77,77,421782.16621903935,10122.317386418988,ppo v4 w/ pred,428006.5195183944,416661.99846517044
78,78,421731.6450060763,6301.190496458066,ppo v4 w/ pred,428170.1657432645,416165.43573902716
79,79,421438.5896166088,8526.957788528203,ppo v4 w/ pred,428044.6985434185,415848.51934992644
80,80,422134.1025202546,7671.861444747034,ppo v4 w/ pred,428102.01699327456,415493.2160121074
81,81,422135.29383391206,3862.620470318785,ppo v4 w/ pred,428533.6661622197,414987.93836254877
82,82,421535.20221932867,9060.6869050635,ppo v4 w/ pred,428290.795240887,415295.41658434446
83,83,421119.09004398144,4648.776931977435,ppo v4 w/ pred,427523.80129849614,416312.6487858789
84,84,421575.20565277786,3721.858984496277,ppo v4 w/ pred,427651.2071090171,416584.1649701495
85,85,422080.8149071181,7690.759073236242,ppo v4 w/ pred,427438.3632054112,417305.29078197305
86,86,422398.9491070602,3369.8638014677986,ppo v4 w/ pred,426901.2155905825,418105.0915979013
87,87,423033.3575147569,1201.186666792408,ppo v4 w/ pred,427270.4966771699,417765.30092624435
88,88,423726.25498003466,5580.638627710409,ppo v4 w/ pred,427037.0584047119,418179.33596496395
89,89,423979.9991576968,3857.1092113807777,ppo v4 w/ pred,427253.6448284428,418299.40131727484
90,90,423447.36852575233,987.1192909623152,ppo v4 w/ pred,427505.8629123525,418250.6196264785
91,91,422282.7459085648,7407.979261540648,ppo v4 w/ pred,427465.32925904065,418384.7599082047
92,92,422438.1860506365,5823.320349175734,ppo v4 w/ pred,427668.2990644764,418078.85403309297
93,93,422802.3489241898,5131.382289076985,ppo v4 w/ pred,427815.49773818173,417530.0907726979
94,94,422592.3876183449,5226.857858026696,ppo v4 w/ pred,427609.11896944715,417137.19893662917
95,95,422548.8480491898,6817.38939804603,ppo v4 w/ pred,427721.1363984511,416268.57103083126
96,96,421884.2687586805,5914.242204205173,ppo v4 w/ pred,427800.5189157132,415670.16550297895
97,97,421025.5345813079,4680.996337294673,ppo v4 w/ pred,427576.8652439405,415726.10473111726
98,98,420729.9019560185,6513.203964381097,ppo v4 w/ pred,427412.83150696417,415622.53146566305
99,99,420196.94677372684,8760.335885390103,ppo v4 w/ pred,426741.3224816484,414368.85468582844
100,100,420852.25347280095,4376.059516534143,ppo v4 w/ pred,425949.95385659125,413277.4859913833
101,101,421444.17369039345,6010.01476198567,ppo v4 w/ pred,424493.404689701,412872.95029230136
102,102,421100.15103848383,5521.017991565081,ppo v4 w/ pred,423762.132807501,412048.3339042466
103,103,413176.4198984375,8042.221061671397,ppo v4 w/ pred,436757.6747510341,397710.80555185943
104,104,413178.70102083334,6726.858204966205,ppo v4 w/ pred,435920.9646446953,397319.3805038002
105,105,413243.4237193287,1557.3220590045787,ppo v4 w/ pred,435034.4009100326,397078.97681849747
106,106,414104.8274074074,6380.964733479109,ppo v4 w/ pred,434763.5972441834,396016.5836919856
107,107,414315.60253703705,141346.34781689584,ppo v4 w/ pred,433786.16415898304,395622.83493251004
108,108,414589.2261840278,4286.77867298318,ppo v4 w/ pred,432912.60575730714,395273.53932735726
109,109,414562.1096739005,5529.53563859064,ppo v4 w/ pred,433651.29588940396,396485.37198223965
110,110,414186.2695109954,8334.006819847487,ppo v4 w/ pred,,
111,111,414588.2644670139,3091.5931333611516,ppo v4 w/ pred,,
112,112,414985.8810043403,2899.704008949736,ppo v4 w/ pred,,
113,113,422929.0338333333,5676.508447743346,ppo v4 w/ pred,,
5,5,-96463.36659201389,918.3798051455638,ppo v4 w/o pred,,
6,6,-95684.09580208334,2503.2411792629387,ppo v4 w/o pred,,
7,7,-95358.74152459491,2206.8965289831317,ppo v4 w/o pred,,
8,8,-93659.28472916667,8983.875436679664,ppo v4 w/o pred,,
9,9,-78631.62072309028,16866.778922212525,ppo v4 w/o pred,,
10,10,-51759.027108796305,10650.555615909965,ppo v4 w/o pred,25666.798630384357,-78560.20395596305
11,11,-11481.119746817125,1836.1148395969806,ppo v4 w/o pred,74406.03897741495,-70244.8106365006
12,12,34792.11454687501,15117.493779695129,ppo v4 w/o pred,117115.61800213647,-45808.69668570125
13,13,86260.48188802085,215057.97427915872,ppo v4 w/o pred,155820.90785560396,-7112.600894608564
14,14,137517.63316377316,246993.70254509244,ppo v4 w/o pred,198799.56285797962,37039.0223994857
15,15,188809.80174045142,203037.61494298626,ppo v4 w/o pred,243217.30008860384,84062.42712383835
16,16,240044.3690755209,93870.56654887385,ppo v4 w/o pred,288241.0223861915,129956.82658904008
17,17,291648.18669820606,2252.866840857113,ppo v4 w/o pred,331223.62397239194,172048.27267714514
18,18,341992.10675318295,3119.033978086677,ppo v4 w/o pred,368610.9867574199,211445.28110548522
19,19,378574.089051794,3838.441453570344,ppo v4 w/o pred,380818.95225605054,265646.3967088222
20,20,402831.58170515054,6297.169777839512,ppo v4 w/o pred,385071.8631086525,317491.65734817623
21,21,413889.11862471065,6291.892330074166,ppo v4 w/o pred,387986.3386015424,360177.01262351556
