,episode,mean detail,std detail,algorithm,upper,lower
5,5,216.675,12.747548783981962,PPO v4 w/ pred,,
6,6,217.3,12.328828005937952,PPO v4 w/ pred,,
7,7,217.5,10.222524150130436,PPO v4 w/ pred,,
8,8,216.975,7.968688725254614,PPO v4 w/ pred,,
9,9,216.85,11.519006033508273,PPO v4 w/ pred,,
10,10,215.8,7.632168761236874,PPO v4 w/ pred,226.77178462016815,205.69321537983188
11,11,215.55,8.276472678623424,PPO v4 w/ pred,226.00645861879238,206.20854138120762
12,12,215.775,11.299889379989523,PPO v4 w/ pred,224.84044567647803,206.82455432352194
13,13,214.7,12.735285626950029,PPO v4 w/ pred,223.95139166171992,207.0486083382801
14,14,215.2,10.662434056068061,PPO v4 w/ pred,223.37142721327956,207.0135727867205
15,15,215.425,6.34428877022476,PPO v4 w/ pred,223.216117205756,206.523882794244
16,16,214.55,3.418698582794336,PPO v4 w/ pred,223.40863716511976,205.73136283488026
17,17,214.175,4.656984002549289,PPO v4 w/ pred,223.53945832758163,205.07054167241836
18,18,213.9,5.244044240850758,PPO v4 w/ pred,222.8994528331097,205.18054716689025
19,19,213.625,13.19090595827292,PPO v4 w/ pred,222.25164114653845,205.5533588534616
20,20,212.8,12.55736835487436,PPO v4 w/ pred,221.52289152198767,205.95210847801235
21,21,212.9,12.234684303242156,PPO v4 w/ pred,221.16045395109276,205.67954604890724
22,22,213.125,7.54983443527075,PPO v4 w/ pred,221.2923238093722,205.1276761906278
23,23,213.325,7.632168761236874,PPO v4 w/ pred,221.1298238093722,204.9651761906278
24,24,213.55,5.024937810560445,PPO v4 w/ pred,221.29270977814036,204.50729022185968
25,25,212.25,5.894913061275798,PPO v4 w/ pred,220.80712143964647,204.8878785603535
26,26,212.45,6.837397165588672,PPO v4 w/ pred,221.20776808751285,205.00223191248716
27,27,212.55,4.656984002549289,PPO v4 w/ pred,220.84913994308417,205.95586005691584
28,28,212.425,8.347903928532,PPO v4 w/ pred,220.9530728399224,206.5269271600776
29,29,213.1,8.860022573334675,PPO v4 w/ pred,221.4081619962579,206.95683800374212
30,30,215.375,13.988834833537782,PPO v4 w/ pred,222.8894056649504,206.3305943350496
31,31,215.875,5.673402858955108,PPO v4 w/ pred,223.5323007130662,206.7776992869338
32,32,216.5,5.2141634036535525,PPO v4 w/ pred,223.8372561677267,207.73774383227328
33,33,217.75,7.75806032459145,PPO v4 w/ pred,224.87807959001594,208.15192040998403
34,34,217.825,15.562374497485916,PPO v4 w/ pred,225.63662067451756,209.08337932548247
35,35,217.7,6.87386354243376,PPO v4 w/ pred,225.90248359004286,210.1275164099571
36,36,218.775,3.5619517121937516,PPO v4 w/ pred,225.29529916329187,211.3747008367081
37,37,219.825,7.790218225441442,PPO v4 w/ pred,226.0860794510419,211.09392054895807
38,38,220.875,7.483314773547883,PPO v4 w/ pred,226.34762346539196,211.16237653460803
39,39,219.65,4.968651728587948,PPO v4 w/ pred,226.33298403295947,211.03201596704054
40,40,218.575,4.716990566028302,PPO v4 w/ pred,225.8767889553315,211.32821104466854
41,41,218.425,11.031205736455105,PPO v4 w/ pred,225.67940260108813,211.5055973989119
42,42,218.15,6.179603547154137,PPO v4 w/ pred,225.68241236620497,210.93258763379504
43,43,217.025,8.336666000266533,PPO v4 w/ pred,224.62001932840863,210.96998067159137
44,44,217.025,11.800423721205947,PPO v4 w/ pred,223.7060295000791,210.60397049992088
45,45,217.6,5.0,PPO v4 w/ pred,223.53040404377916,210.05459595622082
46,46,215.925,6.442049363362563,PPO v4 w/ pred,223.44276545795213,209.70723454204784
47,47,214.7,2.29128784747792,PPO v4 w/ pred,222.8520773136541,209.8429226863459
48,48,214.475,4.743416490252569,PPO v4 w/ pred,222.4893862158455,209.81061378415447
49,49,216.025,6.837397165588672,PPO v4 w/ pred,222.50030043910837,209.75969956089162
50,50,216.4,6.015604707757983,PPO v4 w/ pred,221.91203294963748,210.24796705036252
51,51,216.15,7.399324293474371,PPO v4 w/ pred,222.4020329496375,209.63796705036253
52,52,216.175,4.527692569068709,PPO v4 w/ pred,222.5145652505627,210.01543474943733
53,53,216.825,8.645808232895291,PPO v4 w/ pred,223.2445887644946,209.9954112355054
54,54,216.525,6.417748826496718,PPO v4 w/ pred,223.72022186229998,210.42977813770003
55,55,217.0,10.5,PPO v4 w/ pred,224.1632723837218,210.5767276162782
56,56,218.375,5.11737237261468,PPO v4 w/ pred,225.1655031147296,210.08949688527042
57,57,218.25,6.041522986797286,PPO v4 w/ pred,225.09754788938866,210.8324521106113
58,58,219.025,4.949747468305833,PPO v4 w/ pred,225.48900846378328,210.98599153621672
59,59,218.975,8.317902379807062,PPO v4 w/ pred,225.60990296200876,211.20509703799127
60,60,218.975,13.46291201783626,PPO v4 w/ pred,226.05610281378767,211.1438971862123
61,61,219.525,3.344772040064913,PPO v4 w/ pred,225.67596982001123,211.68903017998878
62,62,218.9,5.717298313014636,PPO v4 w/ pred,225.30578017749204,211.759219822508
63,63,218.525,8.154753215150045,PPO v4 w/ pred,224.9630959315431,211.77190406845688
64,64,218.45,8.954747344286158,PPO v4 w/ pred,225.03109591914114,211.0389040808589
65,65,217.825,5.873670062235365,PPO v4 w/ pred,224.96417164704,210.35082835295998
66,66,216.875,2.9154759474226504,PPO v4 w/ pred,224.16178780510555,210.50321219489447
67,67,216.6,4.264680527307995,PPO v4 w/ pred,224.492310601099,209.40268939890097
68,68,215.7,8.954747344286158,PPO v4 w/ pred,224.21877129568279,209.0862287043172
69,69,215.2,11.423659658795863,PPO v4 w/ pred,223.59697689894256,209.1680231010574
70,70,215.725,8.689073598491383,PPO v4 w/ pred,223.61692815482198,208.763071845178
71,71,215.675,10.5,PPO v4 w/ pred,223.89915144924612,208.45084855075388
72,72,215.95,5.931905258852336,PPO v4 w/ pred,224.80118248163984,207.73881751836012
73,73,215.825,4.636809247747852,PPO v4 w/ pred,224.92841482260965,207.93158517739033
74,74,216.525,11.07925990308017,PPO v4 w/ pred,224.96450055895684,208.55549944104314
75,75,217.675,8.845903006477066,PPO v4 w/ pred,225.2305956578744,209.1544043421256
76,76,217.825,10.985786271359915,PPO v4 w/ pred,225.37707913260527,209.9029208673947
77,77,218.2,3.9370039370059056,PPO v4 w/ pred,225.76425012826644,210.49074987173358
78,78,219.0,6.015604707757983,PPO v4 w/ pred,226.63631771834648,210.7086822816535
79,79,219.525,9.759610647971568,PPO v4 w/ pred,227.60992718642493,210.94007281357509
80,80,220.2,5.678908345800274,PPO v4 w/ pred,227.79158441364515,211.83841558635487
81,81,220.55,9.496709956611289,PPO v4 w/ pred,227.789468859828,212.61553114017198
82,82,221.4,9.202581159652981,PPO v4 w/ pred,228.2418876034164,212.98311239658355
83,83,221.85,8.347903928532,PPO v4 w/ pred,229.21068720971584,212.83931279028417
84,84,221.925,7.495832175282475,PPO v4 w/ pred,229.51333167527628,213.05666832472372
85,85,221.55,4.949747468305833,PPO v4 w/ pred,229.3362720683696,213.60372793163043
86,86,221.925,11.409973707244026,PPO v4 w/ pred,230.02928440405972,213.0857155959403
87,87,222.325,9.5,PPO v4 w/ pred,229.4068768210588,213.8081231789412
88,88,221.6,6.442049363362563,PPO v4 w/ pred,228.90396624339147,214.12103375660854
89,89,221.375,6.139014578904337,PPO v4 w/ pred,,
90,90,221.075,11.734031702701335,PPO v4 w/ pred,,
91,91,221.05,2.7726341266023544,PPO v4 w/ pred,,
92,92,220.45,5.123475382979799,PPO v4 w/ pred,,
5,5,217.525,3.0,PPO v4 w/o pred,,
6,6,218.325,4.06201920231798,PPO v4 w/o pred,,
7,7,218.225,4.322904116447646,PPO v4 w/o pred,,
8,8,219.6,5.0990195135927845,PPO v4 w/o pred,,
9,9,220.725,4.602988159880492,PPO v4 w/o pred,,
10,10,221.3,7.968688725254614,PPO v4 w/o pred,227.23746638490348,213.2975336150965
11,11,221.275,10.328964130056798,PPO v4 w/o pred,228.07902685567925,213.53597314432074
12,12,221.5,13.683932183404009,PPO v4 w/o pred,228.6482852901629,213.6817147098371
13,13,222.2,7.874007874011811,PPO v4 w/o pred,229.52942649053756,213.42057350946243
14,14,222.0,8.757139944068497,PPO v4 w/o pred,229.50843470069213,213.7265652993079
15,15,222.925,6.015604707757983,PPO v4 w/o pred,229.51504030878914,213.6049596912109
16,16,221.9,6.179603547154137,PPO v4 w/o pred,229.04597025225172,213.8090297477483
17,17,221.325,10.034316120194738,PPO v4 w/o pred,228.6369461831839,214.0480538168161
18,18,221.025,3.4641016151377544,PPO v4 w/o pred,228.19226722912495,214.19773277087506
19,19,220.15,5.244044240850758,PPO v4 w/o pred,227.86227209650298,213.852727903497
20,20,219.975,4.602988159880492,PPO v4 w/o pred,227.56063518670962,213.43436481329041
21,21,220.425,7.088723439378913,PPO v4 w/o pred,226.81187353192186,212.96812646807817
22,22,220.025,10.712142642814275,PPO v4 w/o pred,226.8366806374801,211.7983193625199
23,23,218.825,7.949056547792323,PPO v4 w/o pred,225.76032712425504,211.8996728757449
24,24,218.4,9.340770846134703,PPO v4 w/o pred,225.4253799578953,211.1496200421047
25,25,216.85,4.602988159880492,PPO v4 w/o pred,225.24359932593515,210.45140067406487
26,26,216.175,12.152674602736633,PPO v4 w/o pred,224.7869814347219,209.9880185652781
27,27,216.45,4.14578098794425,PPO v4 w/o pred,224.71119032899892,209.1788096710011
28,28,215.6,5.539629951540085,PPO v4 w/o pred,224.16097832205097,208.99902167794903
29,29,215.75,7.826237921249264,PPO v4 w/o pred,224.06937068923656,208.53062931076343
30,30,215.375,4.636809247747852,PPO v4 w/o pred,223.94560756666556,208.20439243333445
31,31,216.0,10.755812382149477,PPO v4 w/o pred,224.4986331426249,207.73636685737512
32,32,216.375,8.860022573334675,PPO v4 w/o pred,224.31733500064757,208.28266499935245
33,33,216.025,9.832980219648569,PPO v4 w/o pred,224.61681737262893,208.20818262737106
34,34,216.15,10.353139620424328,PPO v4 w/o pred,224.89772681317072,208.37227318682932
35,35,217.275,9.7082439194738,PPO v4 w/o pred,224.67690803993605,208.81809196006392
36,36,218.0,8.514693182963201,PPO v4 w/o pred,224.72556403864706,208.98943596135297
37,37,217.575,6.015604707757983,PPO v4 w/o pred,224.3143918852814,209.36560811471858
38,38,217.825,6.123724356957945,PPO v4 w/o pred,223.82891130690513,209.74108869309484
39,39,216.875,4.493050188902857,PPO v4 w/o pred,223.87092724698272,209.67907275301727
40,40,216.475,4.02336923485777,PPO v4 w/o pred,224.10036325993528,209.47963674006473
41,41,215.825,6.819090848492928,PPO v4 w/o pred,223.50638051701316,209.87861948298684
42,42,215.825,4.55521678957215,PPO v4 w/o pred,223.9863935047402,209.1086064952598
43,43,215.925,10.353139620424328,PPO v4 w/o pred,224.02259732081203,208.95240267918797
44,44,216.3,12.497499749949988,PPO v4 w/o pred,223.94945471641773,208.96054528358226
45,45,216.3,4.743416490252569,PPO v4 w/o pred,224.37005535230665,208.68994464769335
46,46,216.55,14.7648230602334,PPO v4 w/o pred,224.74668142397485,208.76331857602514
47,47,216.975,6.977642868476432,PPO v4 w/o pred,225.06450912914102,209.115490870859
48,48,217.5,5.717298313014636,PPO v4 w/o pred,225.1325894610035,209.5774105389965
49,49,217.625,7.949056547792323,PPO v4 w/o pred,224.54907889783607,210.84092110216392
50,50,218.725,5.539629951540085,PPO v4 w/o pred,224.18126050604278,211.59873949395723
51,51,219.175,6.6473679001541655,PPO v4 w/o pred,224.39641016314508,211.58358983685488
52,52,218.475,2.5860201081971503,PPO v4 w/o pred,223.6619731550354,212.48302684496463
53,53,219.325,1.118033988749895,PPO v4 w/o pred,223.88901759136434,212.27598240863563
54,54,218.25,6.869315832017043,PPO v4 w/o pred,224.64743481093643,211.45756518906356
55,55,217.3,5.894913061275798,PPO v4 w/o pred,225.00717797713395,211.182822022866
56,56,217.375,6.59545297913646,PPO v4 w/o pred,224.98410603514375,210.8358939648562
57,57,217.075,9.148087231765993,PPO v4 w/o pred,225.01951246361196,210.28048753638805
58,58,217.2,13.601470508735444,PPO v4 w/o pred,225.13330840134887,209.93169159865116
59,59,218.05,11.121488209767612,PPO v4 w/o pred,226.02858653049097,208.646413469509
60,60,216.875,7.158910531638177,PPO v4 w/o pred,226.2231242655856,208.5118757344144
61,61,216.575,9.60143218483576,PPO v4 w/o pred,226.32263116376512,208.53736883623486
62,62,217.3,4.898979485566356,PPO v4 w/o pred,226.53384309409716,208.41615690590282
63,63,217.375,12.020815280171307,PPO v4 w/o pred,226.3873531353112,208.9076468646888
64,64,218.55,8.514693182963201,PPO v4 w/o pred,226.02261710175645,209.75738289824358
65,65,217.925,6.264982043070834,PPO v4 w/o pred,226.18630042533445,209.80869957466552
66,66,217.825,8.257572282456872,PPO v4 w/o pred,226.33768552928365,210.24731447071636
67,67,218.8,5.958187643906492,PPO v4 w/o pred,226.58488644601948,210.45011355398051
68,68,219.625,7.5291101731877985,PPO v4 w/o pred,227.52323124779295,209.87676875220706
69,69,219.125,11.683321445547923,PPO v4 w/o pred,227.01530201845554,210.56469798154444
70,70,219.825,5.722761571129799,PPO v4 w/o pred,227.06707708627056,210.43792291372944
71,71,218.825,9.82344135219425,PPO v4 w/o pred,226.80983712232023,210.89516287767978
72,72,219.125,12.457427503300993,PPO v4 w/o pred,227.2125023936047,210.8074976063953
73,73,218.275,6.041522986797286,PPO v4 w/o pred,226.89594186957078,211.14405813042922
74,74,218.175,9.40744386111339,PPO v4 w/o pred,226.8436716673064,210.6463283326936
75,75,218.925,2.692582403567252,PPO v4 w/o pred,226.22275149021658,210.58724850978348
76,76,219.4,10.709224995301948,PPO v4 w/o pred,226.33746933480197,209.51253066519808
77,77,218.9,2.692582403567252,PPO v4 w/o pred,225.53512519958252,209.6748748004175
78,78,216.875,9.756408150543928,PPO v4 w/o pred,224.63739343818048,209.81260656181954
79,79,215.725,8.874119674649425,PPO v4 w/o pred,224.86566929804735,209.07433070195265
80,80,215.025,11.669940016983807,PPO v4 w/o pred,224.77075705649077,208.52424294350922
81,81,215.625,5.0,PPO v4 w/o pred,225.55989203447447,207.1151079655255
82,82,215.325,7.280109889280518,PPO v4 w/o pred,225.55719869787762,206.34780130212235
83,83,215.725,10.874281585465774,PPO v4 w/o pred,225.14956924226868,206.0204307577313
84,84,214.95,11.683321445547923,PPO v4 w/o pred,224.39964912736278,206.60535087263725
85,85,215.825,13.683932183404009,PPO v4 w/o pred,224.21865350026314,207.15634649973686
