Reward function,Relocated containers,Relocation rate (%),Moving distance *
Human,244.0,95.6,Not available
V4,217.4980178955714,85.29334035120449,4287.5503155922115
V3,220.67648955897766,86.53979982705006,4377.2344325297645
V2,217.79962967119295,85.41161947889918,4273.745726255938
V1,219.2769287117504,85.99095243598055,4312.031298904538
